slice_file_name,classID,fold
175852-1-0-0.wav,1,8
101729-0-0-3.wav,0,9
148632-8-0-9.wav,8,8
162134-7-11-6.wav,7,10
63724-0-0-0.wav,0,6
30206-7-0-23.wav,7,6
49808-3-1-8.wav,3,2
193697-2-0-135.wav,2,6
159742-8-0-9.wav,8,10
66622-4-0-5.wav,4,3
162134-7-11-7.wav,7,10
21683-9-0-3.wav,9,7
180937-7-3-18.wav,7,1
123685-5-0-0.wav,5,7
89212-3-0-0.wav,3,1
201988-5-0-21.wav,5,7
160009-2-0-1.wav,2,1
174285-6-0-0.wav,6,8
72015-2-0-3.wav,2,8
134717-0-0-22.wav,0,1
60935-2-0-4.wav,2,9
108041-9-0-11.wav,9,1
103199-4-2-7.wav,4,3
207962-3-0-0.wav,3,7
37560-4-0-5.wav,4,3
74850-9-0-5.wav,9,7
135526-6-1-0.wav,6,3
98223-7-8-0.wav,7,1
102842-3-1-5.wav,3,1
99710-9-0-2.wav,9,6
66601-8-0-1.wav,8,9
112075-5-0-2.wav,5,3
104817-4-0-11.wav,4,2
34866-9-0-13.wav,9,8
77751-7-0-0.wav,7,7
33696-3-6-1.wav,3,3
174292-6-2-0.wav,6,10
180937-7-4-6.wav,7,1
148827-6-4-0.wav,6,7
165645-4-0-0.wav,4,1
127443-4-0-10.wav,4,7
139000-4-0-0.wav,4,8
203424-9-0-4.wav,9,10
13230-0-0-7.wav,0,3
164377-9-0-16.wav,9,10
50901-0-1-0.wav,0,1
94636-8-0-20.wav,8,3
79089-0-0-123.wav,0,9
155262-2-0-2.wav,2,10
185374-9-0-35.wav,9,9
97317-2-0-34.wav,2,1
33849-3-0-0.wav,3,2
157866-8-0-19.wav,8,9
94710-5-0-3.wav,5,2
132021-7-0-6.wav,7,6
57320-0-0-5.wav,0,1
182739-2-0-35.wav,2,2
102858-5-0-0.wav,5,2
201988-5-0-14.wav,5,7
135527-6-14-5.wav,6,7
167701-4-0-0.wav,4,6
42953-9-0-28.wav,9,9
24074-1-0-8.wav,1,1
173891-9-0-10.wav,9,7
209992-5-2-43.wav,5,7
162702-1-1-0.wav,1,6
42324-4-2-3.wav,4,8
103076-3-0-0.wav,3,8
177537-7-0-6.wav,7,7
180937-4-0-20.wav,4,9
100795-3-1-0.wav,3,10
99192-4-0-3.wav,4,10
201652-5-3-4.wav,5,2
55020-4-0-12.wav,4,1
171478-9-0-4.wav,9,10
31884-7-1-2.wav,7,3
207211-2-0-100.wav,2,9
74677-0-0-21.wav,0,8
66000-9-0-1.wav,9,6
180937-7-2-7.wav,7,1
46299-2-0-21.wav,2,6
202334-9-0-88.wav,9,10
136399-6-7-0.wav,6,9
103249-5-0-7.wav,5,9
59594-4-0-3.wav,4,2
17853-5-0-11.wav,5,3
79089-0-0-134.wav,0,9
187378-3-0-30.wav,3,9
180127-4-0-13.wav,4,10
71529-4-1-1.wav,4,7
188824-7-1-0.wav,7,3
35548-9-0-10.wav,9,6
147926-0-0-16.wav,0,2
189989-0-0-1.wav,0,9
78651-5-0-17.wav,5,6
77674-3-0-0.wav,3,7
165775-7-0-0.wav,7,2
118558-5-2-2.wav,5,10
55013-3-0-7.wav,3,8
103438-5-0-2.wav,5,10
88466-7-0-0.wav,7,1
62567-5-0-0.wav,5,9
204240-0-0-1.wav,0,6
115418-9-0-12.wav,9,10
94632-5-1-26.wav,5,6
194962-5-0-0.wav,5,7
180937-4-0-19.wav,4,9
41372-3-0-39.wav,3,3
137815-4-0-1.wav,4,9
159761-0-0-5.wav,0,3
15356-2-0-3.wav,2,3
188004-8-0-0.wav,8,6
34708-6-0-0.wav,6,3
201988-5-0-7.wav,5,7
24076-1-0-0.wav,1,10
208030-3-4-0.wav,3,6
88121-8-0-3.wav,8,10
174287-6-3-0.wav,6,9
176783-3-0-3.wav,3,3
50668-5-0-2.wav,5,8
101729-0-0-28.wav,0,9
39856-5-0-12.wav,5,9
79377-9-0-10.wav,9,2
184805-0-0-27.wav,0,6
99812-1-0-1.wav,1,7
93567-8-0-17.wav,8,10
149929-9-0-0.wav,9,9
196066-2-0-0.wav,2,9
39884-5-0-5.wav,5,6
49809-3-0-0.wav,3,3
46669-4-0-61.wav,4,1
160092-3-0-0.wav,3,2
162103-0-0-5.wav,0,8
185800-4-1-0.wav,4,2
127873-0-0-0.wav,0,1
69598-4-2-0.wav,4,3
37236-6-0-0.wav,6,2
162103-0-0-15.wav,0,8
71177-8-2-0.wav,8,8
157866-8-0-25.wav,8,9
184805-0-0-32.wav,0,6
22601-8-0-15.wav,8,3
39852-5-0-0.wav,5,6
194733-9-0-12.wav,9,8
14386-9-0-20.wav,9,8
102105-3-0-0.wav,3,3
28808-1-0-0.wav,1,10
89443-9-0-50.wav,9,7
93193-9-1-11.wav,9,2
66000-9-0-2.wav,9,6
123399-2-0-83.wav,2,3
148835-6-1-0.wav,6,6
111386-5-0-4.wav,5,6
49313-2-0-4.wav,2,7
83680-5-0-3.wav,5,6
185374-9-0-33.wav,9,9
94182-9-0-0.wav,9,9
25037-6-0-0.wav,6,10
9223-2-0-2.wav,2,3
7063-6-0-0.wav,6,9
159708-6-2-0.wav,6,7
117271-3-0-1.wav,3,6
128891-3-0-4.wav,3,6
157940-9-0-5.wav,9,7
162540-1-1-0.wav,1,1
180127-4-0-16.wav,4,10
152908-5-0-7.wav,5,2
46669-4-0-3.wav,4,1
181624-4-7-0.wav,4,10
208030-3-2-0.wav,3,6
39854-5-1-4.wav,5,6
94636-8-0-18.wav,8,3
68080-7-0-0.wav,7,8
162103-0-0-0.wav,0,8
106015-5-0-2.wav,5,2
188813-7-0-0.wav,7,10
203440-3-0-5.wav,3,1
146186-5-0-9.wav,5,1
69598-4-0-0.wav,4,3
95562-4-1-0.wav,4,3
159738-8-0-18.wav,8,1
94710-5-0-1.wav,5,2
146845-0-0-18.wav,0,7
178520-2-0-27.wav,2,2
75490-8-1-1.wav,8,6
84249-9-0-3.wav,9,10
94636-8-0-1.wav,8,3
173995-3-0-11.wav,3,2
30206-7-0-35.wav,7,6
