slice_file_name,classID
136399-6-1-0.wav,6
14387-9-0-12.wav,9
71171-4-0-4.wav,4
145390-9-0-13.wav,9
105415-2-0-15.wav,2
22883-7-3-0.wav,7
157866-8-0-12.wav,8
180126-4-0-0.wav,4
102857-5-0-27.wav,5
75490-8-1-0.wav,8
202334-9-0-137.wav,9
196384-9-0-15.wav,9
156091-1-0-0.wav,1
165039-7-6-1.wav,7
104998-7-8-13.wav,7
207216-2-0-43.wav,2
192124-2-0-0.wav,2
162434-6-2-0.wav,6
97317-2-0-23.wav,2
204067-2-0-30.wav,2
33340-7-3-0.wav,7
129750-2-0-45.wav,2
159745-8-1-4.wav,8
49485-9-0-154.wav,9
75743-0-0-15.wav,0
154758-5-0-11.wav,5
180127-4-0-21.wav,4
129750-2-0-3.wav,2
128465-1-0-0.wav,1
104625-4-0-3.wav,4
157868-8-0-17.wav,8
39854-5-1-2.wav,5
180125-4-2-14.wav,4
193699-2-0-32.wav,2
107228-5-0-0.wav,5
14385-9-0-14.wav,9
158593-2-0-52.wav,2
43787-3-3-0.wav,3
159708-6-4-0.wav,6
74677-0-0-36.wav,0
166942-0-0-1.wav,0
113205-5-0-0.wav,5
177621-0-0-117.wav,0
194321-9-0-100.wav,9
123399-2-0-83.wav,2
103074-7-4-0.wav,7
77751-4-4-0.wav,4
62837-7-0-3.wav,7
15564-2-0-0.wav,2
23131-3-2-0.wav,3
74726-8-2-1.wav,8
180937-7-2-5.wav,7
111386-5-1-13.wav,5
63932-3-0-2.wav,3
2937-1-0-0.wav,1
97606-7-2-0.wav,7
118278-4-0-12.wav,4
24347-8-0-36.wav,8
49808-3-0-6.wav,3
196059-2-0-0.wav,2
178826-2-0-16.wav,2
28385-9-0-32.wav,9
76091-6-4-0.wav,6
149370-9-0-37.wav,9
39856-5-0-18.wav,5
155280-2-0-3.wav,2
180937-7-2-0.wav,7
144028-3-1-0.wav,3
131918-7-0-1.wav,7
106014-5-0-4.wav,5
193699-2-0-62.wav,2
155212-9-1-88.wav,9
174026-3-2-2.wav,3
177742-0-0-84.wav,0
105425-9-0-10.wav,9
62567-5-0-7.wav,5
22883-7-61-1.wav,7
203929-7-3-9.wav,7
146709-0-0-7.wav,0
80806-2-0-5.wav,2
178825-2-0-9.wav,2
75743-0-0-2.wav,0
62837-7-1-39.wav,7
178825-2-0-70.wav,2
39532-4-3-0.wav,4
157868-8-0-15.wav,8
144007-5-0-16.wav,5
161702-9-0-45.wav,9
