slice_file_name,classID
20688-2-0-2.wav,2
13577-3-0-2.wav,3
18592-5-0-3.wav,5
17578-5-0-16.wav,5
24347-8-0-32.wav,8
24347-8-0-59.wav,8
7389-1-4-2.wav,1
9223-2-0-4.wav,2
11722-3-0-0.wav,3
24074-1-0-2.wav,1
14470-2-0-56.wav,2
22601-8-0-15.wav,8
20285-3-1-1.wav,3
7066-6-1-0.wav,6
17973-2-0-29.wav,2
24347-8-0-76.wav,8
22601-8-0-12.wav,8
20571-3-1-0.wav,3
16860-9-0-45.wav,9
13230-0-0-23.wav,0
18592-5-0-4.wav,5
22601-8-0-33.wav,8
14386-9-0-2.wav,9
14772-7-1-0.wav,7
22601-8-0-16.wav,8
7383-3-0-1.wav,3
17578-5-0-2.wav,5
22883-7-99-3.wav,7
22883-7-39-1.wav,7
7389-1-4-10.wav,1
17578-5-0-28.wav,5
24347-8-0-43.wav,8
17486-3-1-0.wav,3
15544-5-0-10.wav,5
14772-7-6-0.wav,7
12812-5-0-1.wav,5
22883-7-44-0.wav,7
24074-1-0-1.wav,1
22883-7-62-0.wav,7
9674-1-0-2.wav,1
22883-7-21-0.wav,7
24347-8-0-0.wav,8
22883-7-54-0.wav,7
22883-7-72-0.wav,7
14470-2-0-14.wav,2
14111-4-0-3.wav,4
22601-8-0-23.wav,8
23219-5-0-1.wav,5
15544-5-0-0.wav,5
24347-8-0-58.wav,8
14387-9-0-19.wav,9
23219-5-0-3.wav,5
13230-0-0-18.wav,0
18592-5-0-2.wav,5
15544-5-0-15.wav,5
15544-5-0-6.wav,5
7064-6-1-0.wav,6
22883-7-49-3.wav,7
12812-5-0-0.wav,5
14387-9-0-16.wav,9
20015-3-0-4.wav,3
17973-2-0-22.wav,2
13230-0-0-28.wav,0
16692-5-0-5.wav,5
21684-9-0-7.wav,9
21684-9-0-25.wav,9
23219-5-0-10.wav,5
24364-4-0-8.wav,4
24347-8-0-26.wav,8
7390-9-1-11.wav,9
17973-2-0-32.wav,2
7067-6-0-0.wav,6
24347-8-0-66.wav,8
7389-1-4-5.wav,1
14470-2-0-21.wav,2
7389-1-4-1.wav,1
13230-0-0-25.wav,0
22601-8-0-24.wav,8
16692-5-0-7.wav,5
7389-1-4-3.wav,1
22883-7-61-0.wav,7
22883-7-91-0.wav,7
9223-2-0-2.wav,2
17853-5-0-12.wav,5
24074-1-0-10.wav,1
23219-5-0-12.wav,5
15544-5-0-16.wav,5
7383-3-0-0.wav,3
14385-9-0-21.wav,9
17480-2-0-9.wav,2
24347-8-0-36.wav,8
15544-5-0-12.wav,5
13230-0-0-26.wav,0
20571-3-0-0.wav,3
